placekey,sg_c__parent_placekey,sg_c__location_name,sg_c__safegraph_brand_ids,sg_c__brands,sg_c__top_category,sg_c__sub_category,sg_c__naics_code,sg_c__latitude,sg_c__longitude,sg_c__street_address,sg_c__city,sg_c__region,sg_c__postal_code,sg_c__iso_country_code,sg_c__phone_number,sg_c__open_hours,sg_c__category_tags,sg_c__opened_on,sg_c__closed_on,sg_c__tracking_closed_since,sg_c__geometry_type
222-222@5ps-8hh-t7q,222-223@5ps-8hh-t7q,Western Union,SG_BRAND_9ee39f394d21a7f4848ab78a78da00c3,Western Union,Activities Related to Credit Intermediation,Other Activities Related to Credit Intermediation,522390,35.383535,-93.364821,23756 Highway 64,Knoxville,AR,72845,US,,"{ ""Mon"": [[""8:00"", ""22:00""]], ""Tue"": [[""8:00"", ""22:00""]], ""Wed"": [[""8:00"", ""22:00""]], ""Thu"": [[""8:00"", ""22:00""]], ""Fri"": [[""8:00"", ""22:00""]], ""Sat"": [[""8:00"", ""22:00""]], ""Sun"": [[""8:00"", ""22:00""]] }",,,,2/2/21,POLYGON
222-222@5ps-gxr-qvf,,Heavy Shot Guide Service,,,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,713990,34.42686,-91.570177,57 Ora Ln,Stuttgart,AR,72160,US,18708307644,,,,,7/1/19,POLYGON
222-222@5ps-hxg-h89,,Everly,,,Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,34.773199,-92.310895,2501 Riverfront Dr,Little Rock,AR,72202,US,,,,,,7/1/19,POLYGON
222-222@5ps-j5j-6tv,222-223@5ps-j5j-6tv,Arkansas Baptist Foundation,,,Religious Organizations,Religious Organizations,813110,34.742352,-92.387213,10117 Kanis Rd,Little Rock,AR,72205,US,15013760732,,,,,7/1/19,POLYGON
222-222@5ps-j6x-2hq,zzw-222@5ps-j7q-ghq,Zweifler Michael D DDS,,,Offices of Dentists,Offices of Dentists,621210,34.841835,-92.420273,8 Ten Tee Dr,Maumelle,AR,72113,US,15018512929,,,,,7/1/19,POLYGON
222-222@5ps-j9c-ty9,,CARQUEST Auto Parts,SG_BRAND_ed5a1ef3e85b774022eb505cf6f184ee,CARQUEST Auto Parts,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310,34.704756,-92.343796,5013 S University Ave,Little Rock,AR,72209,US,15019042969,"{ ""Mon"": [[""7:30"", ""18:00""]], ""Tue"": [[""7:30"", ""18:00""]], ""Wed"": [[""7:30"", ""18:00""]], ""Thu"": [[""7:30"", ""18:00""]], ""Fri"": [[""7:30"", ""18:00""]], ""Sat"": [[""7:30"", ""17:00""]], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5ps-jbc-2c5,,Legacy Bistro & Bar,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,34.744622,-92.278127,625 W Capitol Ave,Little Rock,AR,72201,US,15012440000,,"Bar or Pub,Late Night",,,7/1/19,POLYGON
222-222@5ps-jc2-t7q,,Cedar Heights Apartments,,,Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,34.745146,-92.318485,4015 W 7th St,Little Rock,AR,72205,US,,,,,,7/1/19,POLYGON
222-222@5ps-pgn-5fz,,White County Federal Credit Union,,,Depository Credit Intermediation,Credit Unions,522130,35.244004,-91.742318,508 W Beebe Capps Expy,Searcy,AR,72143,US,15012683122,,,,,7/1/19,POLYGON
222-222@5ps-v3y-xqz,,H&R Block,SG_BRAND_c19468cebc69ba51b37529f1fdd814f7,H&R Block,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Tax Preparation Services,541213,36.524357,-91.538842,113 Chestnut St,Thayer,MO,65791,US,14172643600,"{ ""Mon"": [], ""Tue"": [[""10:00"", ""14:00""]], ""Wed"": [[""10:00"", ""14:00""]], ""Thu"": [[""10:00"", ""14:00""]], ""Fri"": [], ""Sat"": [], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5ps-ztg-8gk,,Ascent Acquistition Corporation,,,Child Day Care Services,Child Day Care Services,624410,36.076382,-90.475673,1910 Rector Road,Paragould,AR,72401,US,18702408500,,,,,7/1/19,POLYGON
222-222@5pt-3mw-gx5,,Greene Co Tech Interm School,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110,36.066815,-90.554923,5205 W Kingshighway,Paragould,AR,72450,US,,,,,,7/1/19,POLYGON
222-222@5pt-3tg-8qf,,Shannon Baptist Church,,,Religious Organizations,Religious Organizations,813110,36.250653,-90.944296,1706 Pace Rd,Pocahontas,AR,72455,US,18708925729,,,,,7/1/19,POLYGON
222-222@5pt-6h2-w6k,,Purging Word Church,,,Religious Organizations,Religious Organizations,813110,36.180802,-89.656512,1312 Hickory Ave,Caruthersville,MO,63830,US,,,,,,7/1/19,POLYGON
222-222@5pt-7fd-hh5,,State Line Truck Stop,,,Gasoline Stations,Gasoline Stations with Convenience Stores,447110,36.500524,-90.538838,21710 Highway 67 S,Neelyville,MO,63954,US,15739896494,,,,,7/1/19,POLYGON
222-222@5pt-7vn-4gk,,Exxon Mobil,SG_BRAND_a144a8c10e1fe8006125571afd1a1e80,Exxon Mobil,Gasoline Stations,Gasoline Stations with Convenience Stores,447110,36.72862,-90.459608,4155 S Westwood Blvd,Poplar Bluff,MO,63901,US,,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }",,,,7/1/19,POLYGON
222-222@5pt-c2r-x3q,,Apartments at 515 S Cardinal Dr,,,Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,36.335353,-92.371307,515 S Cardinal Dr,Mountain Home,AR,72653,US,,,,,,7/1/19,POLYGON
222-222@5pt-c2x-zxq,,Super 8,SG_BRAND_43bdfa786f5809e475a7382797eae3fd,Super 8,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110,36.349586,-92.373425,865 Highway 62 E,Mountain Home,AR,72653,US,18704518998,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }",,,,1/22/20,POLYGON
222-222@5pt-ckr-tsq,zzw-222@5pt-ckt-t7q,Attic Salt,SG_BRAND_3f0b923c9c8132b7,Attic Salt,Clothing Stores,Women's Clothing Stores,448120,36.646754,-93.214356,611 Branson Landing Blvd Spc 1203,Branson,MO,65616,US,14172335444,,,,,,POLYGON
222-222@5pt-ckz-dy9,zzy-222@5pt-ckz-ct9,Petco,SG_BRAND_c5bc0c313e3f7af2ff0291d8846671ab,Petco,Other Miscellaneous Store Retailers,Pet and Pet Supplies Stores,453910,36.668165,-93.22564,993 Branson Hills Pkwy,Branson,MO,65616,US,14173347143,"{ ""Mon"": [[""9:00"", ""20:00""]], ""Tue"": [[""9:00"", ""20:00""]], ""Wed"": [[""9:00"", ""20:00""]], ""Thu"": [[""9:00"", ""20:00""]], ""Fri"": [[""9:00"", ""20:00""]], ""Sat"": [[""9:00"", ""20:00""]], ""Sun"": [[""10:00"", ""19:00""]] }",,,,7/1/19,POLYGON
222-222@5pt-gvw-c89,,Enterprise Rent-A-Car,SG_BRAND_9f497514e036d97886867c3fe21baf6a,Enterprise Rent-A-Car,Automotive Equipment Rental and Leasing,Passenger Car Rental,532111,36.724928,-91.835407,1372 Bill Virdon Blvd,West Plains,MO,65775,US,14172562710,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [[""9:00"", ""12:00""]], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5pt-gwn-59f,,NHC (National Health Care Corporation),SG_BRAND_7ca0e93e68b53a3590a90a9f163b707e,NHC (National Health Care Corporation),Nursing Care Facilities (Skilled Nursing Facilities),Nursing Care Facilities (Skilled Nursing Facilities),623110,36.728828,-91.878626,211 Davis Dr,West Plains,MO,65775,US,,,,,,5/16/20,POLYGON
222-222@5pt-gwn-7h5,,St Paul Lutheran Church,,,Religious Organizations,Religious Organizations,813110,36.729805,-91.876537,291 N Kentucky Ave,West Plains,MO,65775,US,14172566685,,,,,7/1/19,POLYGON
222-222@5pt-v3j-qj9,zzw-225@5pt-v3j-swk,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,McDonald's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.459347,-87.686779,824 S Dixie Hwy,Hoopeston,IL,60942,US,12172839333,"{ ""Mon"": [[""4:30"", ""23:00""]], ""Tue"": [[""4:30"", ""23:00""]], ""Wed"": [[""4:30"", ""23:00""]], ""Thu"": [[""4:30"", ""23:00""]], ""Fri"": [[""4:30"", ""24:00""]], ""Sat"": [[""4:30"", ""24:00""]], ""Sun"": [[""4:30"", ""23:00""]] }","Counter Service,Lunch,Fast Food,Drive Through,Breakfast,Dinner,Burgers",,,7/1/19,POLYGON
222-222@5pv-3bd-rzf,,Clancy Gernon Hertz Funeral Home Inc,,,Death Care Services,Funeral Homes and Funeral Services,812210,41.120845,-87.885349,1480 W Court St,Kankakee,IL,60901,US,18159323431,,,,,7/1/19,POLYGON
222-222@5pv-3bq-hnq,226-225@5pv-3bq-hkf,Riverside Hearing Specialists,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,41.124011,-87.883108,375 N Wall St Ste P620,Kankakee,IL,60901,US,,,,,,7/1/19,POLYGON
222-222@5pv-6cd-k75,,Christian Educational Services Inc,,,Religious Organizations,Religious Organizations,813110,39.410866,-86.414941,180 Robert Curry Dr,Martinsville,IN,46151,US,,,,,,7/1/19,POLYGON
222-222@5pv-6cd-mc5,,Lee Supply,,,Home Furnishings Stores,All Other Home Furnishings Stores,442299,39.410025,-86.418184,35 Industrial Dr,Martinsville,IN,46151,US,17653429440,,,,,7/1/19,POLYGON
222-222@5pv-8sj-66k,,Dunkin',SG_BRAND_9b4045db0fbb461cf9ed78916d9b16b4,Dunkin',Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,39.949975,-86.339347,6842 Whitestown Pkwy,Whitestown,IN,46077,US,13177690283,"{ ""Mon"": [[""5:00"", ""19:00""]], ""Tue"": [[""5:00"", ""19:00""]], ""Wed"": [[""5:00"", ""19:00""]], ""Thu"": [[""5:00"", ""19:00""]], ""Fri"": [[""5:00"", ""19:00""]], ""Sat"": [[""6:00"", ""19:00""]], ""Sun"": [[""6:00"", ""19:00""]] }","Snacks,Counter Service,Dessert,Donut Shop,Coffee Shop",,,7/1/19,POLYGON
222-222@5pv-9f8-33q,,Victory Chapel Independent Holiness,,,Religious Organizations,Religious Organizations,813110,40.280403,-86.535205,196 Lewis Smith Rd,Frankfort,IN,46041,US,17656549523,,,,,7/1/19,POLYGON
222-222@5pv-9mb-vs5,,Wiers Fleet Partners,,,Automotive Repair and Maintenance,"Automotive Body, Paint, and Interior Repair and Maintenance",811121,39.750496,-86.222925,3748 W Morris St,Indianapolis,IN,46241,US,13174341285,"{ ""Mon"": [[""7:00"", ""18:00""]], ""Tue"": [[""7:00"", ""18:00""]], ""Wed"": [[""7:00"", ""18:00""]], ""Thu"": [[""7:00"", ""18:00""]], ""Fri"": [[""7:00"", ""18:00""]], ""Sat"": [], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5pv-9qm-gff,,Indiana Wesleyan University,,,"Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools",611310,39.61822,-86.075477,1500 Windhorst Way,Greenwood,IN,46143,US,13178593101,,,,,7/1/19,POLYGON
222-222@5pv-b2k-975,,Independence Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,39.583926,-86.200962,2100 S Morgantown Rd,Greenwood,IN,46143,US,,,,,,7/1/19,POLYGON
222-222@5pv-b3v-zmk,,Kreative Learning Childcare Academy Ministry Llc,,,Child Day Care Services,Child Day Care Services,624410,39.868646,-86.200148,2147 W 63rd St,Indianapolis,IN,46260,US,13172531194,,,,,7/1/19,POLYGON
222-222@5pv-b5h-wrk,,Little James F DDS,,,Offices of Dentists,Offices of Dentists,621210,39.897018,-86.092416,7827 Providence Cir,Indianapolis,IN,46250,US,13175760397,,,,,7/1/19,POLYGON
222-222@5pv-b63-rtv,,Midland House,,,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,,6233,39.856371,-86.099197,3940 E 56th St,Indianapolis,IN,46220,US,13172572201,,,,,7/1/19,POLYGON
222-222@5pv-b6f-26k,,National American University Indianapolis,,,"Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools",611310,39.921914,-86.222232,3600 Woodview Trce,Indianapolis,IN,46268,US,,"{ ""Mon"": [[""8:00"", ""20:00""]], ""Tue"": [[""8:00"", ""20:00""]], ""Wed"": [[""8:00"", ""20:00""]], ""Thu"": [[""8:00"", ""20:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [[""10:00"", ""13:00""]], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5pv-b8m-bff,,Red Roof Inn,SG_BRAND_5596332340ca64ad125f8982d64f1ab7,Red Roof Inn,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110,39.701486,-86.080232,5221 Victory Dr,Indianapolis,IN,46203,US,13177889551,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }",,,,7/1/19,POLYGON
222-222@5pv-gyj-q2k,,Excalibur Seasoning,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,40.54892,-89.659045,1800 Riverway Dr,Pekin,IL,61554,US,13093471221,,,,,7/1/19,POLYGON
222-222@5pv-h5m-k9f,,Diamond S Sporting Clays,,,"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores,451110,40.478979,-89.414745,27211 Townline Rd,Tremont,IL,61568,US,13094495500,,,,,7/1/19,POLYGON
222-222@5pv-mdq-54v,,Super 8,SG_BRAND_43bdfa786f5809e475a7382797eae3fd,Super 8,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110,40.705737,-89.444217,1884 Washington Rd,Washington,IL,61571,US,13092132742,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }",,,,1/22/20,POLYGON
222-222@5pv-mnh-68v,222-223@5pv-mnh-68v,Head Start At Harrison School,,,Child Day Care Services,Child Day Care Services,624410,40.667908,-89.637383,2727 W Krause Ave,Peoria,IL,61605,US,,,,,,7/1/19,POLYGON
222-222@5pv-mnv-jsq,,Mid Illini Auto Center,,,Automotive Repair and Maintenance,General Automotive Repair,811111,40.626499,-89.619549,1139 Wesley Rd,Creve Coeur,IL,61554,US,13096426750,"{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5pv-mqc-ghq,,Sherman's,,,Furniture Stores,Furniture Stores,442110,40.747548,-89.611217,1215 W Glen Ave,Peoria,IL,61614,US,13096914100,"{ ""Mon"": [[""10:00"", ""20:00""]], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""20:00""]], ""Fri"": [[""10:00"", ""20:00""]], ""Sat"": [[""10:00"", ""20:00""]], ""Sun"": [[""11:00"", ""17:00""]] }",,,,7/1/19,POLYGON
222-222@5pv-mqd-jsq,,Mt Olive Missionary Church,,,Religious Organizations,Religious Organizations,813110,40.757373,-89.611367,5718 N University St,Peoria,IL,61614,US,,,,,,7/1/19,POLYGON
222-222@5pv-mqd-t9z,,Rccg Salvation Center,,,Religious Organizations,Religious Organizations,813110,40.730829,-89.588446,3526 N California Ave Ste 100AB,Peoria,IL,61603,US,,,,,,7/1/19,POLYGON
222-222@5pv-n5n-vcq,,Prostate Cancer Treatment Center,,,Specialty (except Psychiatric and Substance Abuse) Hospitals,Specialty (except Psychiatric and Substance Abuse) Hospitals,622310,40.776778,-89.603317,7309 N Knoxville Ave,Peoria,IL,61614,US,13096929898,,,,,7/1/19,POLYGON
222-222@5pv-vd7-r6k,,Apartments at 1221 N 6th St,,,Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,39.481548,-87.410426,1221 N 6th St,Terre Haute,IN,47807,US,,,,,,7/1/19,POLYGON
222-222@5pv-wqk-5vf,,Moonshadows,,,Other Miscellaneous Store Retailers,Art Dealers,453920,40.112828,-88.24563,204 W Springfield Ave,Champaign,IL,61820,US,12172789844,,,,,7/1/19,POLYGON
222-222@5pv-y4t-d35,,Little Mountain Movers Academy,,,Child Day Care Services,Child Day Care Services,624410,41.551257,-87.357874,1735 W 37th Ave,Gary,IN,46408,US,12197468208,,,,,7/1/19,POLYGON
222-222@5pv-y6y-sbk,,AutoZone,SG_BRAND_87681bc51c663efbbf7272e0f1262e9b,AutoZone,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310,41.549413,-87.270259,704 N Wisconsin St,Hobart,IN,46342,US,12199424579,"{ ""Mon"": [[""7:30"", ""21:00""]], ""Tue"": [[""7:30"", ""21:00""]], ""Wed"": [[""7:30"", ""21:00""]], ""Thu"": [[""7:30"", ""21:00""]], ""Fri"": [[""7:30"", ""21:00""]], ""Sat"": [[""7:30"", ""21:00""]], ""Sun"": [[""8:00"", ""21:00""]] }",,,,7/1/19,POLYGON
222-222@5pv-y9z-mff,,Gast Animal Hospital,,,"Other Professional, Scientific, and Technical Services",Veterinary Services,541940,41.47147,-87.158719,258 N 475 W,Valparaiso,IN,46385,US,12197597387,"{ ""Mon"": [[""8:00"", ""19:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""13:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [[""8:00"", ""13:00""]], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5pv-ycp-xkf,,Bultema's Farmstand & Greenhouse,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,41.504128,-87.545311,2785 E Lincoln Hwy,Lynwood,IL,60411,US,17087581565,"{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [[""8:00"", ""17:00""]], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5pv-ycq-rhq,,Bassheadz Kustomz,,,Electronics and Appliance Stores,Electronics Stores,443142,41.514142,-87.539804,3149 Glenwood Dyer Rd Ste J,Lynwood,IL,60411,US,17082487153,"{ ""Mon"": [[""9:30"", ""18:00""]], ""Tue"": [[""9:30"", ""18:00""]], ""Wed"": [[""9:30"", ""18:00""]], ""Thu"": [[""9:30"", ""18:00""]], ""Fri"": [[""9:30"", ""18:00""]], ""Sat"": [[""10:00"", ""17:00""]], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5pv-yjy-yqf,,Albanese Confectionery Group,,,Specialty Food Stores,Confectionery and Nut Stores,445292,41.471956,-87.36034,1910 W 81st Ave,Merrillville,IN,46410,US,12197382333,,,,,7/1/19,POLYGON
222-222@5pv-ysd-2x5,,Arby's,SG_BRAND_f004042e34f9a89a218a216365ccd2c4,Arby's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,41.554344,-87.183284,3360 Willowcreek Rd,Portage,IN,46368,US,12197620751,"{ ""Mon"": [[""10:00"", ""24:00""]], ""Tue"": [[""10:00"", ""24:00""]], ""Wed"": [[""10:00"", ""24:00""]], ""Thu"": [[""10:00"", ""24:00""]], ""Fri"": [[""10:00"", ""24:00""]], ""Sat"": [[""0:00"", ""1:00""], [""10:00"", ""24:00""]], ""Sun"": [[""0:00"", ""1:00""], [""10:00"", ""24:00""]] }","Counter Service,Lunch,Fast Food,Drive Through,Breakfast,Dinner,Burgers",,,7/1/19,POLYGON
222-222@5pv-ywh-54v,,Maritza Taqueria & Restaurant,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,41.630661,-87.517538,4542 Hohman Ave,Hammond,IN,46327,US,12198032622,,Mexican Food,,,7/1/19,POLYGON
222-222@5pv-ywp-hh5,,Johnel's Restaurant,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,41.637553,-87.508162,4145 Calumet Ave,Hammond,IN,46320,US,12199317000,"{ ""Mon"": [[""6:00"", ""21:00""]], ""Tue"": [[""6:00"", ""21:00""]], ""Wed"": [[""6:00"", ""21:00""]], ""Thu"": [[""6:00"", ""21:00""]], ""Fri"": [[""6:00"", ""22:00""]], ""Sat"": [[""6:00"", ""22:00""]], ""Sun"": [[""6:00"", ""21:00""]] }",Brunch,,,7/1/19,POLYGON
222-222@5pv-yxx-66k,,Extra Space Storage,SG_BRAND_25f99d0cc5d6078042c8f466f6a8fa83,Extra Space Storage,Lessors of Real Estate,Lessors of Miniwarehouses and Self-Storage Units,531130,41.704198,-87.527718,3940 E 106th St,Chicago,IL,60617,US,,"{ ""Mon"": [[""9:30"", ""18:00""]], ""Tue"": [[""9:30"", ""18:00""]], ""Wed"": [[""9:30"", ""18:00""]], ""Thu"": [[""9:30"", ""18:00""]], ""Fri"": [[""9:30"", ""18:00""]], ""Sat"": [[""9:00"", ""17:30""]], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5pv-zb7-5s5,,Nature's Heirlooms,,,Health and Personal Care Stores,Food (Health) Supplement Stores,446191,41.151254,-86.996936,9551 N 250 E,Wheatfield,IN,46392,US,12193086948,"{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5pw-247-r6k,222-225@5pw-247-r6k,Loyola Center For Health At Homer Glen,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,41.602049,-87.957573,15750 Marian Dr,Homer Glen,IL,60491,US,,"{ ""Mon"": [[""8:00"", ""20:00""]], ""Tue"": [[""8:00"", ""20:00""]], ""Wed"": [[""8:00"", ""20:00""]], ""Thu"": [[""8:00"", ""20:00""]], ""Fri"": [[""8:00"", ""20:00""]], ""Sat"": [[""8:00"", ""15:00""]], ""Sun"": [[""8:00"", ""15:00""]] }",,,,7/1/19,POLYGON
222-222@5pw-256-q9f,,Art in the Garage,,,Other Personal Services,Parking Lots and Garages,812930,41.625376,-87.858858,9809 W 145th Pl,Orland Park,IL,60462,US,17088226767,,,,,7/1/19,POLYGON
222-222@5pw-25h-33q,,Best One Massage & Nail Spa,,,Personal Care Services,Nail Salons,812113,41.583991,-87.785029,16902 Oak Park Ave,Tinley Park,IL,60477,US,17085323103,"{ ""Mon"": [[""10:00"", ""22:00""]], ""Tue"": [[""10:00"", ""22:00""]], ""Wed"": [[""10:00"", ""22:00""]], ""Thu"": [[""10:00"", ""22:00""]], ""Fri"": [[""10:00"", ""22:00""]], ""Sat"": [[""10:00"", ""22:00""]], ""Sun"": [[""11:00"", ""22:00""]] }",,,,7/1/19,POLYGON
