placekey,sg_c__parent_placekey,sg_c__location_name,sg_c__safegraph_brand_ids,sg_c__brands,sg_c__top_category,sg_c__sub_category,sg_c__naics_code,sg_c__latitude,sg_c__longitude,sg_c__street_address,sg_c__city,sg_c__region,sg_c__postal_code,sg_c__iso_country_code,sg_c__phone_number,sg_c__open_hours,sg_c__category_tags,sg_c__opened_on,sg_c__closed_on,sg_c__tracking_closed_since,sg_c__geometry_type
222-222@5pq-zcc-vvf,,Sidelines Sports Bar,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,38.97772,-92.329031,701 Big Bear Blvd,Columbia,MO,65202,US,15734426555,"{ ""Mon"": [[""19:00"", ""22:30""]], ""Tue"": [], ""Wed"": [[""17:00"", ""22:30""]], ""Thu"": [[""17:00"", ""22:30""]], ""Fri"": [[""17:00"", ""24:00""]], ""Sat"": [[""17:00"", ""24:00""]], ""Sun"": [] }","Bar or Pub,Sports Bar,Late Night",,,7/1/19,POLYGON
222-222@5pq-zcx-y7q,,Apartments at 16 N 10th St,,,Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,38.95217,-92.326078,16 N 10th St,Columbia,MO,65201,US,,,,,,7/1/19,POLYGON
222-222@5pq-zfq-kj9,,Dog Man K 9 Services,,,Other Personal Services,Pet Care (except Veterinary) Services,812910,38.994055,-92.24521,4140 Thompson Rd,Columbia,MO,65202,US,15732398376,,,,,7/1/19,POLYGON
222-222@5pr-2zc-gp9,,R Kenneth Elliot Children's Justice Center,,,"Justice, Public Order, and Safety Activities",Correctional Institutions,922140,39.24515,-94.417312,351 E Kansas St,Liberty,MO,64068,US,18167368400,,,,,7/1/19,POLYGON
222-222@5pr-34g-3h5,,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,McDonald's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,39.032121,-94.356517,18910 E US Highway 40,Independence,MO,64055,US,18167958088,"{ ""Mon"": [[""6:00"", ""23:00""]], ""Tue"": [[""6:00"", ""23:00""]], ""Wed"": [[""6:00"", ""23:00""]], ""Thu"": [[""6:00"", ""23:00""]], ""Fri"": [[""6:00"", ""23:00""]], ""Sat"": [[""6:00"", ""23:00""]], ""Sun"": [[""6:00"", ""23:00""]] }","Counter Service,Lunch,Fast Food,Drive Through,Breakfast,Dinner,Burgers",,,7/1/19,POLYGON
222-222@5pr-377-fj9,,Weird Stuff Antiques,,,Used Merchandise Stores,Used Merchandise Stores,453310,39.104151,-94.606359,1703 W 9th St,Kansas City,MO,64101,US,,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [[""11:00"", ""17:00""]], ""Sat"": [[""11:00"", ""17:00""]], ""Sun"": [[""11:00"", ""17:00""]] }",,,,7/1/19,POLYGON
222-222@5pr-378-6x5,,RB's Adrenaline Factory,,,Automotive Repair and Maintenance,"Automotive Body, Paint, and Interior Repair and Maintenance",811121,39.10831,-94.595701,1010 Woodswether Rd,Kansas City,MO,64105,US,18163212535,"{ ""Mon"": [[""9:00"", ""18:30""]], ""Tue"": [[""9:00"", ""18:30""]], ""Wed"": [[""9:00"", ""18:30""]], ""Thu"": [[""9:00"", ""18:30""]], ""Fri"": [[""9:00"", ""18:30""]], ""Sat"": [], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5pr-386-5cq,,Big O Tires,SG_BRAND_9a3ac6282b90f27a0b4c4dd5dbaec91a,Big O Tires,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310,39.197687,-94.58885,700 NW Englewood Rd,Kansas City,MO,64118,US,,"{ ""Mon"": [[""7:30"", ""18:30""]], ""Tue"": [[""7:30"", ""18:30""]], ""Wed"": [[""7:30"", ""18:30""]], ""Thu"": [[""7:30"", ""18:30""]], ""Fri"": [[""7:30"", ""18:30""]], ""Sat"": [[""8:00"", ""18:00""]], ""Sun"": [[""9:00"", ""17:00""]] }",,,,7/1/19,POLYGON
222-222@5pr-38q-c3q,,Mies Wholesale Meats Inc,,,Specialty Food Stores,Meat Markets,445210,39.133585,-94.570751,1330 Jasper St,North Kansas City,MO,64116,US,19133715528,"{ ""Mon"": [[""6:00"", ""15:00""]], ""Tue"": [[""6:00"", ""15:00""]], ""Wed"": [[""6:00"", ""15:00""]], ""Thu"": [[""6:00"", ""15:00""]], ""Fri"": [[""6:00"", ""15:00""]], ""Sat"": [], ""Sun"": [] }",,,,7/1/19,POLYGON
222-222@5pr-38r-89z,,Northland Racquet Club,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,39.151501,-94.584372,306 Tennis Ct,North Kansas City,MO,64116,US,18168428811,"{ ""Mon"": [[""8:30"", ""22:30""]], ""Tue"": [[""8:30"", ""22:30""]], ""Wed"": [[""8:30"", ""22:30""]], ""Thu"": [[""8:30"", ""22:30""]], ""Fri"": [[""8:30"", ""18:30""]], ""Sat"": [[""8:30"", ""16:00""]], ""Sun"": [[""9:00"", ""16:00""]] }",,,,7/1/19,POLYGON
